Date,Time,Hours,Description,Total
8/30/2023,12:45PM - 1:45PM,1,Jorge Invited me to group and emailed professor,16 Week: 08/30 - 09/06
8/31/2023,3:00PM - 4:00PM,1,Received Reply from professor and talked with other groupmates on group decleration ,
1-Sep,10:00AM - 4:00PM,6,Received advice from classmates on which sources to learn Unity and C#. Started with C#.,
9/3/2023,10:00AM - 4:00PM,6,Started reading C# book and watching various video tutorials,
9/6/2023,3:00PM - 5:00PM,2,Met up with classmates to go to meeting with Professor to discuss on what type of educational project we would do.,
9/8/2023,10:30AM-11:30AM,1,Talked about the actual design documentation and putting it into a Google Doc for submission.,2 Week: 09/09 - 09/13
9/11/2023,2:00PM - 3:00 PM,1,Joined a meeting with groupmates on what the overview of the project to submit the proposal. Could not stay longer due to work.,
9/15/2023,4:00PM - 10:00PM,6,"Installed VS Code and Community along with appropriate extensions, how to use VS community, C# Tutorial For Beginners - Learn C# Basics in 1 Hour, free version of C# in tutorialspoint.",16 Week: 09/14 - 09/20
9/16/2023,"1:00PM - 7:00PM, 9:00PM - 11:00PM",8,"Installed GitBash, Created a new GitHub Repository, downaloded file from Google Spreadsheets to a cvs file, Googled how to use Git commands and how to commit, and updated the current file to GitHub.",
9/19/2023,9:00PM - 10:00PM,1,Met up with Zixian online to test Unity Figure and Multiplayerability and adjust bugs and visual ojects to character,
9/20/2023,10:00PM - 11:00PM,1,Started learning Unity and creating sample objects through use of video tutorials and unity tutorials.,
9/21/2023,11:30AM - 4:30PM,5,Watched Various videos on YouTube and going through Unity website walkthrough how to create and adding force to object (movement) as well as looking at assets that we can use for the project.,18.75 Week: 09/21 - 09/27
9/24/2023,5:00PM - 8:00 PM,3,Downloaded Blender and watched YouTube Videos and Googled on how to make a character from scratch. Created a prototype character.,
9/25/2023,1:30PM-7:30PM,6,Created two more characters for the game.,
9/27/2023,"3:00PM-6:30PM, 9:15PM -10:30:PM",4.75,Created a few more models using different textures and techniques on blender. Met with classmates on discord to discuss the progress of our section on the project.,
9/30/2023,9:00AM - 10:00AM,1,Meeting with classmates about recording and submitting demo 1,
10/1/2023,2:00PM - 12:00AM,10,"Looking into how to animate certain enemies (bouncing and floating), met up with classmates, and edited video.",
10/2/2023,12:00AM - 1:00AM,1,"Looking into how to animate certain enemies (bouncing and floating), met up with classmates, and edited video.",
